country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Myanmar,MMR,16-10-2021,,,,,235600,,,,4299,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Namibia,NAM,16-10-2021,,,,,3943,,,,1524,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Nepal,NPL,16-10-2021,,,,,42456,,,,1431,"Covaxin, Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Netherlands,NLD,16-10-2021,,,,,13235,,,,771,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the Netherlands,https://coronadashboard.government.nl/landelijk/vaccinaties
New Caledonia,NCL,16-10-2021,,,,,4608,,,,15988,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
New Zealand,NZL,16-10-2021,6319211,3568179,2751032,131261,74905,123.36,69.66,53.7,14622,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,16-10-2021,,,,,21907,,,,3269,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Niger,NER,16-10-2021,,,,,25001,,,,995,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Nigeria,NGA,16-10-2021,,,,,74906,,,,354,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
North Macedonia,MKD,16-10-2021,,,,,2271,,,,1090,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Government of North Macedonia,http://zdravstvo.gov.mk/vkupno-aplicirani-1-641-733-dozi-vakcini-revakcinirani-46-od-polnoletnite-gragjani-vo-drzhavata/?cn-reloaded=1
Northern Cyprus,OWID_CYN,16-10-2021,,,,,2110,,,,5520,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asi.saglik.gov.ct.tr/
Northern Ireland,OWID_NIR,16-10-2021,2573372,1317336,1224459,1439,3299,135.73,69.48,64.58,1740,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Norway,NOR,16-10-2021,7905929,4194878,3711051,49,3220,144.65,76.75,67.9,589,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,16-10-2021,,,,,32086,,,,6143,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://twitter.com/OmaniMOH/status/1457638580545851393
Pakistan,PAK,16-10-2021,,,,,703002,,,,3122,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Palestine,PSE,16-10-2021,,,,,25337,,,,4851,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Panama,PAN,16-10-2021,5334950,2959378,2336653,20270,10640,121.76,67.54,53.33,2428,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://vacunas.panamasolidario.gob.pa/vacunometro
Papua New Guinea,PNG,16-10-2021,,,,,4778,,,,524,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Paraguay,PRY,16-10-2021,,,,,15857,,,,2196,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Peru,PER,16-10-2021,32389500,18038323,14305776,344660,240905,97.09,54.07,42.88,7221,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Philippines,PHL,16-10-2021,,,,,372256,,,,3352,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Department of Health via ABS-CBN Investigative and Research Group,https://news.abs-cbn.com/spotlight/multimedia/infographic/03/23/21/philippines-covid-19-vaccine-tracker
Poland,POL,16-10-2021,38280933,20026009,19725793,28808,54142,101.28,52.98,52.19,1432,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,16-10-2021,,,,,7943,,,,781,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,16-10-2021,4787360,,,1519,3783,163.36,,,1291,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,16-10-2021,11134093,,5654687,59472,58033,58.21,,29.56,3034,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/
Russia,RUS,16-10-2021,,,,,327926,,,,2247,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,16-10-2021,,,,,122891,,,,9256,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Saint Kitts and Nevis,KNA,16-10-2021,,,,,79,,,,1475,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Saint Lucia,LCA,16-10-2021,,,,,479,,,,2598,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.covid19response.lc/
Saint Vincent and the Grenadines,VCT,16-10-2021,,,,,264,,,,2373,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/photos/a.872174376176320/5047661741960875/
Samoa,WSM,16-10-2021,,,,,817,,,,4082,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
San Marino,SMR,16-10-2021,,,,,6,,,,176,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Sao Tome and Principe,STP,16-10-2021,,,,,432,,,,1934,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Saudi Arabia,SAU,16-10-2021,44521775,23878391,20643384,80260,169445,125.98,67.57,58.41,4795,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
Scotland,OWID_SCT,16-10-2021,8495424,4286044,3877849,25545,54251,155.42,78.41,70.94,9925,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Senegal,SEN,16-10-2021,,,,,9531,,,,554,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Serbia,SRB,16-10-2021,,,,,5426,,,,790,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
Seychelles,SYC,16-10-2021,,,,,408,,,,4125,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Sierra Leone,SLE,16-10-2021,,,,,7576,,,,931,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Singapore,SGP,16-10-2021,9852025,4736518,4680794,28651,30358,180.65,86.85,85.83,5567,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://covid19.who.int/
Sint Maarten (Dutch part),SXM,16-10-2021,,,,,17,,,,392,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Slovakia,SVK,16-10-2021,4775900,2490437,2285463,908,3026,87.46,45.61,41.85,554,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,16-10-2021,2278083,1178675,1099408,429,3964,109.59,56.7,52.89,1907,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,16-10-2021,,,,,1197,,,,1700,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Somalia,SOM,16-10-2021,,,,,9624,,,,588,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
South Africa,ZAF,16-10-2021,,,,,173262,,,,2886,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,KOR,16-10-2021,72184987,40441295,33210703,419160,457296,140.7,78.82,64.73,8913,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
South Sudan,SSD,16-10-2021,,,,,825,,,,72,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Spain,ESP,16-10-2021,,,,,34945,,,,748,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211116.ods
Sri Lanka,LKA,16-10-2021,27488241,14767778,12720463,75918,78355,127.87,68.7,59.17,3645,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-16-11_10_21_1.pdf
Sudan,SDN,16-10-2021,,,,,5151,,,,115,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",World Health Organization,https://africacdc.org/covid-19-vaccination/
Suriname,SUR,16-10-2021,,,,,1636,,,,2764,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,16-10-2021,,,,,12490,,,,1229,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,16-10-2021,10899018,5664465,5347240,18153,24360,125.05,64.99,61.35,2795,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
Syria,SYR,16-10-2021,,,,,5598,,,,306,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Taiwan,TWN,16-10-2021,,,,,232156,,,,9732,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Tajikistan,TJK,16-10-2021,,,,,16256,,,,1667,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Tanzania,TZA,16-10-2021,,,,,12672,,,,206,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Thailand,THA,16-10-2021,64139022,36955020,25287543,524670,690036,91.69,52.83,36.15,9865,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/vaccine-covid19/getFiles/9/1637119591756.pdf
Timor,TLS,16-10-2021,,,,,6666,,,,4960,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Togo,TGO,16-10-2021,,,,,9733,,,,1148,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Tonga,TON,16-10-2021,,,,,428,,,,4009,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Trinidad and Tobago,TTO,16-10-2021,1173839,609136,564703,3878,5044,83.64,43.41,40.24,3594,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,16-10-2021,8678033,5400133,4189084,37508,35317,72.71,45.24,35.1,2959,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/259870602850076
Turkey,TUR,16-10-2021,113862236,54833779,47226488,152703,233841,133.89,64.48,55.53,2750,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turks and Caicos Islands,TCA,16-10-2021,,,,,69,,,,1759,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/
Tuvalu,TUV,16-10-2021,,,,,30,,,,2516,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Uganda,UGA,16-10-2021,,,,,26183,,,,556,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Ukraine,UKR,16-10-2021,14390358,7922413,6488625,82800,106502,33.11,18.23,14.93,2450,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua
United Arab Emirates,ARE,16-10-2021,20661005,,,41271,29587,206.79,,,2961,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,16-10-2021,98724853,49404916,45360146,368682,291397,144.74,72.43,66.5,4272,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
United States,USA,16-10-2021,411671555,219153908,189525317,472451,741737,122.4,65.16,56.35,2205,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends
Uruguay,URY,16-10-2021,6475849,2751381,2604607,2,11194,185.81,78.95,74.73,3212,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,16-10-2021,23645856,12692440,5605575,229111,202857,69.68,37.4,16.52,5978,"Moderna, Oxford/AstraZeneca, Sputnik V, ZF2001",Government of Uzbekistan,https://coronavirus.uz/uz/lists
Vanuatu,VUT,16-10-2021,,,,,1241,,,,3946,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Venezuela,VEN,16-10-2021,,,,,251060,,,,8746,"Abdala, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Vietnam,VNM,16-10-2021,61919937,44070286,17849651,,1256586,63.07,44.89,18.18,12800,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Vietnam,https://www.moh.gov.vn:443/web/guest/tin-tong-hop/-/asset_publisher/k206Q9qkZOqn/content/ngay-16-11-co-9-650-ca-mac-covid-19-tai-59-tinh-thanh-tang-hon-1-000-ca-so-voi-hom-qua
Wales,OWID_WLS,16-10-2021,4647487,2412040,2235447,5793,3263,146.61,76.09,70.52,1029,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Wallis and Futuna,WLF,16-10-2021,,,,,19,,,,1713,Moderna,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Yemen,YEM,16-10-2021,,,,,4479,,,,147,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/
Zambia,ZMB,16-10-2021,843347,,492678,7248,6947,4.46,,2.6,367,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Government of Zambia,https://rtc-planning.maps.arcgis.com/apps/dashboards/3b3a01c1d8444932ba075fb44b119b63
Zimbabwe,ZWE,16-10-2021,5669562,3205003,2464559,13220,15720,37.57,21.24,16.33,1042,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.arcgis.com/home/webmap/viewer.html?url=https://services9.arcgis.com/DnERH4rcjw7NU6lv/ArcGIS/rest/services/Vaccine_Distribution_Program/FeatureServer&source=sd
Afghanistan,AFG,17-10-2021,,,,,36635,,,,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Albania,ALB,17-10-2021,1836856,979655,857201,,5326,63.94,34.1,29.84,1854,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-2000104-vaksinime/
Algeria,DZA,17-10-2021,,,,,35543,,,,797,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Andorra,AND,17-10-2021,,,,,66,,,,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Angola,AGO,17-10-2021,,,,,118764,,,,3500,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Anguilla,AIA,17-10-2021,,,,,0,,,,0,Oxford/AstraZeneca,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,ATG,17-10-2021,,,,,397,,,,4021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag
Argentina,ARG,17-10-2021,,,,,261273,,,,5729,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Armenia,ARM,17-10-2021,620698,434617,186081,,16215,20.91,14.64,6.27,5463,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Aruba,ABW,17-10-2021,,,,,90,,,,840,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,17-10-2021,32577130,18214049,14360419,159057,276230,126.33,70.63,55.69,10711,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,17-10-2021,11246594,5824963,5543732,1897,18713,124.37,64.41,61.3,2069,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline.csv
Azerbaijan,AZE,17-10-2021,9194432,4964151,4230281,,28236,89.94,48.56,41.38,2762,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,17-10-2021,,,,,1655,,,,4170,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,17-10-2021,2708159,1171032,1133745,8054,6790,154.9,66.98,64.85,3884,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,17-10-2021,56317857,37575990,18741867,184836,303828,33.86,22.59,11.27,1827,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,17-10-2021,262359,145339,117020,864,1145,91.19,50.52,40.67,3980,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/photo?fbid=257008643132011&set=a.248616513971224
Belarus,BLR,17-10-2021,4472001,2608819,1863182,,36267,47.36,27.63,19.73,3841,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Belgium,BEL,17-10-2021,16797901,8672545,8523019,419,7930,144.41,74.56,73.27,682,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,17-10-2021,,,,,1738,,,,4292,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Benin,BEN,17-10-2021,,,,,1944,,,,156,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.who.int/
Bermuda,BMU,17-10-2021,,,,,96,,,,1546,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,17-10-2021,,,,,1969,,,,2525,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Bolivia,BOL,17-10-2021,,,,,32141,,,,2716,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.unidoscontraelcovid.gob.bo
Bosnia and Herzegovina,BIH,17-10-2021,,,,,7419,,,,2273,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.slobodnaevropa.org/a/bih-vakcine-unistavanje-vakcinacija/31555241.html
